
﻿"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2003-04",99.7051,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2003-05",99.99381,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2003-06",100.1642,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2003-07",100.2331,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2003-08",100.2333,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2003-09",100.2535,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2003-10",100.337,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2003-11",100.4891,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2003-12",100.6463,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2004-01",100.8039,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2004-02",100.7939,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2004-03",100.7506,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2004-04",100.703,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2004-05",100.6667,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2004-06",100.7113,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2004-07",100.7806,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2004-08",100.7971,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2004-09",100.7776,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2004-10",100.7813,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2004-11",100.8417,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2004-12",100.9413,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2005-01",101.0105,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2005-02",100.9825,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2005-03",100.8422,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2005-04",100.6874,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2005-05",100.6241,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2005-06",100.661,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2005-07",100.6063,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2005-08",100.3646,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2005-09",100.0704,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2005-10",100.0326,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2005-11",100.2813,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2005-12",100.6294,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2006-01",100.8637,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2006-02",100.9115,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2006-03",100.873,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2006-04",100.762,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2006-05",100.5767,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2006-06",100.4772,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2006-07",100.4477,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2006-08",100.4782,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2006-09",100.6345,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2006-10",100.8622,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2006-11",100.9903,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2006-12",101.0424,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2007-01",101.0468,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2007-02",100.9771,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2007-03",100.8984,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2007-04",100.8832,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2007-05",100.913,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2007-06",100.8962,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2007-07",100.8557,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2007-08",100.6968,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2007-09",100.4872,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2007-10",100.2272,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2007-11",99.92636,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2007-12",99.67805,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-01",99.41972,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-02",99.06161,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-03",98.64077,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-04",98.13564,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-05",97.65611,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-06",97.29848,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-07",97.19645,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-08",97.28486,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-09",97.28877,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-10",96.98788,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-11",96.71275,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2008-12",96.55128,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-01",96.47135,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-02",96.47044,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-03",96.70361,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-04",97.1854,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-05",97.67693,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-06",98.05938,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-07",98.30444,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-08",98.53114,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-09",98.7823,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-10",98.91622,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-11",98.9819,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2009-12",99.08666,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-01",99.20213,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-02",99.24782,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-03",99.25173,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-04",99.22067,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-05",99.1666,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-06",99.11287,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-07",99.02891,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-08",99.00414,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-09",99.00514,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-10",99.0601,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-11",99.17684,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-12",99.2502,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-01",99.24086,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-02",99.13976,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-03",98.88935,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-04",98.72949,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-05",98.70521,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-06",98.59328,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-07",98.29726,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-08",97.94801,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-09",97.80089,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-10",97.8222,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-11",97.98366,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-12",98.21284,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-01",98.46919,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-02",98.65522,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-03",98.74318,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-04",98.74265,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-05",98.70526,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-06",98.5924,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-07",98.51121,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-08",98.49147,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-09",98.52815,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-10",98.59345,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-11",98.60309,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-12",98.55468,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-01",98.63698,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-02",98.77469,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-03",98.90057,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-04",99.01893,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-05",99.18999,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-06",99.32976,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-07",99.4292,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-08",99.43104,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-09",99.36584,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-10",99.29368,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-11",99.33642,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-12",99.44978,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-01",99.52087,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-02",99.57616,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-03",99.67147,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-04",99.7921,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-05",99.85212,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-06",99.86133,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-07",99.82935,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-08",99.81854,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-09",99.84564,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-10",99.91825,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.0403,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.2423,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-01",100.443,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-02",100.5572,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.5982,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.5926,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.5288,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.4853,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.3779,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-08",100.2885,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-09",100.2617,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.3855,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-11",100.5439,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.6016,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.5232,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.3905,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.3066,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.3066,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.3729,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.369,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.2934,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.2838,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.3253,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-10",100.3695,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-11",100.4569,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-12",100.5299,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-01",100.5301,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-02",100.5434,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-03",100.6274,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-04",100.7303,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-05",100.8126,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-06",100.848,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-07",100.8918,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-08",100.9688,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-09",101.0502,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-10",101.1451,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-11",101.1701,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.1593,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-01",101.1629,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-02",101.1927,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-03",101.2034,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-04",101.1793,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-05",101.1667,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-06",101.1758,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-07",101.1918,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-08",101.1368,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-09",101.054,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-10",100.942,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-11",100.8136,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2018-12",100.7049,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-01",100.649,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-02",100.7183,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-03",100.8138,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-04",100.8425,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-05",100.821,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-06",100.7279,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-07",100.5903,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-08",100.4238,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-09",100.3981,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-10",100.4748,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-11",100.6262,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2019-12",100.738,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-01",100.6705,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-02",100.1861,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-03",99.1245,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-04",97.97722,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-05",97.58717,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-06",97.74894,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-07",97.98773,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-08",98.22538,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-09",98.44437,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-10",98.52692,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-11",98.52407,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2020-12",98.60497,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-01",98.65263,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2021-02",98.71234,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","1999-12",102.0751,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2000-01",102.4739,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2000-02",102.7939,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2000-03",102.9422,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2000-04",102.8215,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2000-05",102.5872,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2000-06",102.444,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2000-07",102.3141,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2000-08",102.1822,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2000-09",101.9026,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2000-10",101.6136,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2000-11",101.2487,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2000-12",100.8257,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2001-01",100.3259,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2001-02",99.9558,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2001-03",99.55431,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2001-04",99.12487,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2001-05",98.87287,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2001-06",98.74515,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2001-07",98.39883,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2001-08",97.97633,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2001-09",97.64255,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2001-10",97.7243,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2001-11",98.23508,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2001-12",99.07647,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2002-01",100.0936,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2002-02",101.1238,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2002-03",101.7073,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2002-04",101.7968,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2002-05",101.7401,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2002-06",101.7858,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2002-07",101.8978,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2002-08",101.7496,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2002-09",101.5024,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2002-10",101.1848,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2002-11",100.94,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2002-12",100.5746,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2003-01",100.1272,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2003-02",99.74853,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2003-03",99.38016,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2003-04",99.33539,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2003-05",99.53504,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2003-06",99.91631,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2003-07",100.3544,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2003-08",100.7263,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2003-09",100.9175,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2003-10",100.6525,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2003-11",100.2744,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2003-12",100.2009,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2004-01",100.4124,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2004-02",100.5662,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2004-03",100.4318,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2004-04",100.3442,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2004-05",100.246,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2004-06",100.22,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2004-07",100.3445,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2004-08",100.5575,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2004-09",100.7349,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2004-10",100.841,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2004-11",100.954,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2004-12",101.0781,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2005-01",100.9505,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2005-02",100.7255,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2005-03",100.5772,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2005-04",100.3571,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2005-05",100.2287,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2005-06",100.1184,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2005-07",100.087,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2005-08",100.1566,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2005-09",100.2616,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2005-10",100.5425,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2005-11",100.9175,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2005-12",101.2874,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2006-01",101.5646,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2006-02",101.5866,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2006-03",101.6882,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2006-04",101.83,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2006-05",101.9013,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2006-06",101.6593,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2006-07",101.3857,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2006-08",101.3201,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2006-09",101.448,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2006-10",101.6063,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2006-11",101.5588,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2006-12",101.4435,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2007-01",101.3355,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2007-02",101.5238,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2007-03",101.81,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2007-04",102.2105,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2007-05",102.1846,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2007-06",101.9734,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2007-07",101.6546,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2007-08",101.2735,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2007-09",101.0398,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2007-10",100.9401,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2007-11",100.6889,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2007-12",100.2732,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2008-01",99.71803,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2008-02",99.25944,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2008-03",99.09092,
"SWE","CCI","AMPLITUD","LTRENDIDX","M","2008-04",98.72968,
